Strategic Site,Site No.,Address,Zoning,Owner,Current Use,Lot Area (sq ft),,Sub-Area ,Racial Makeup,HVI,Poverty Rate,> 65 Years,Tree Canopy Cover,Impervious Surface,Need for Environmental Assessment??,Interventions ,2025 Summer,2030 Summer,2035 Summer,5 Year Increase,10 Year Increase
"M1-1:  Light Manufacturing District for businesses like workshops, offices, and storage",R7-1: medium-density residential district allowing multi-family buildings,,,,,,,,,,,,,,,,,,,,
,16,1155 BRONX RIVER AVENUE,M1-1,SIRE HOLDINGS,McKinney Welding Supply & Compressed G￼ases; some parking,"11,334",,B,67% Hispanic 33% Black,4,42.00%,13.00%,10.00%,61.00%,,,,,,,
,18,1476 SHERIDAN EXPRESSWAY,M1-1,SIMONE DEVELOPMENT,Simone Development site; existing plans for development,"4,717",,B,55% Hispanic 44% Black       1% Asian,5,15.00%,8.00%,10.00%,61.00%,,,,,,,
,18,1480 SHERIDAN EXPRESSWAY,R7-3,SIMONE DEVELOPMENT,Simone Development site; existing plans for development,"15,875",,B,55% Hispanic 44% Black       1% Asian,5,15.00%,8.00%,10.00%,61.00%,,,,,,,
,18,1428 EDGEWATER ROAD,R7-3,SIMONE DEVELOPMENT,Simone Development site; existing plans for development,"24,656",,B,58% Hispanic 31% Black     9% Other     2% White,5,34.00%,12.00%,16.00%,61.00%,,,,,,,
,18,1458 SHERIDAN EXPWY SR,R7-3,SIMONE DEVELOPMENT,Simone Development site; existing plans for development,"42,999",,B,58% Hispanic 31% Black     9% Other     2% White,5,34.00%,12.00%,16.00%,61.00%,,,,,,,
,18,1460 SHERIDAN EXPRESSWAY,R7-3,SIMONE DEVELOPMENT,Simone Development site; existing plans for development,"100,739",,B,58% Hispanic 31% Black     9% Other     2% White,5,34.00%,12.00%,16.00%,61.00%,,,,,,,
,19,1440 SHERIDAN EXPRESSWAY,R7-3,"SHRI SAI SHAKTI, LLC",Sheridan Hotel,"20,420",,B,58% Hispanic 31% Black     9% Other     2% White,5,34.00%,12.00%,16.00%,61.00%,,,,,,,
,20,1047 HOME STREET,M1-1,NYCEDC,EDC site; exisitng plans for development,"5,144",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,Phase I,,,,,,
,22,1018 FREEMAN STREET,M1-1,ACE 1028 REALTY LLC,Primarily parking,"4,886",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,Phase I,,,,,,
,22,1028 FREEMAN STREET,M1-1,ACE 1028 REALTY LLC,Primarily parking,"9,964",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,"Gasoline Spills, Phase II",,,,,,
,22,1038 FREEMAN STREET,M1-1,ACE 1028 REALTY LLC,Primarily parking,"15,194",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,Phase I,,,,,,
,23,FREEMAN STREET,M1-1,1301 WESTCHESTER AVE,"Primarily auto repair, carwash, and parking","4,402",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,,,,,,,
,23,1085 HOME STREET,M1-1,1301 WESTCHESTER AVE,"Primarily auto repair, carwash, and parking","10,106",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,,,,,,,
,23,1077 HOME STREET,M1-1,1301 WESTCHESTER AVE,"Primarily auto repair, carwash, and parking","20,855",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,,,,,,,
,24,1074 HOME STREET,M1-1,TREMONT GARAGE REALTY,Old industrial building,"12,173",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,,,,,,,
,25,1120 LONGFELLOW AVENUE,M1-1,"DAL JEON REALTY, LLC",Small strip retail area,"15,890",,A,65% Hispanic 31% Black     2% Other     1% White,5,28.00%,10.00%,9.00%,71.00%,,,,,,,
,26,1286 WESTCHESTER AVENUE,M1-1,GLICKER REALTY L.P.,Parking,"19,366",,A,75% Hispanic 24% Black    1% Other,5,25.00%,16.00%,15.00%,82.00%,,,,,,,
,27,1280 WESTCHESTER AVENUE,M1-1,T R Y REALTY CORP.,Parking,"21,271",,A,75% Hispanic 24% Black    1% Other,5,25.00%,16.00%,15.00%,82.00%,,,,,,,
,28,1260 WESTCHESTER AVENUE,M1-1,"SEED CHESTER, INC",Auto retail,"33,014",,A,75% Hispanic 24% Black    1% Other,5,25.00%,16.00%,15.00%,82.00%,,,,,,,
,29,1049 LOWELL STREET,M1-1,"SEAN-THANOS HOLDINGS, LLC",Old industrial building,"13,278",,A,75% Hispanic 24% Black    1% Other,5,25.00%,16.00%,15.00%,82.00%,,,,,,,
,30,1056 LOWELL STREET,M1-1,LOWELL STREET REALTY LLC,"Primarily parking, some warehousing","3,607",,A,75% Hispanic 24% Black    1% Other,5,25.00%,16.00%,15.00%,82.00%,,,,,,,
,30,1042 LOWELL STREET,M1-1,LOWELL STREET REALTY LLC,"Primarily parking, some warehousing","3,848",,A,75% Hispanic 24% Black    1% Other,5,25.00%,16.00%,15.00%,82.00%,Phase I,,,,,,
,30,1046 LOWELL STREET,M1-1,LOWELL STREET REALTY LLC,"Primarily parking, some warehousing","23,543",,A,75% Hispanic 24% Black    1% Other,5,25.00%,16.00%,15.00%,82.00%,Phase I,,,,,,
